名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,城市
罗什寺塔,http://travel.qunar.com/p-oi716387-luoshensita,,矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜...矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜地也”。现存罗什寺塔八角十二层，高32米，全以条形方砖砌成。从下起第三、五、八层均没门，顶部是葫芦形的铜质宝瓶，最上层东西各有小佛龛，龛内有佛像，据说是真金的。,,https://img1.qunarzz.com/piao/fusion/1805/2d/85bcba0eed283f02.jpg_480x360x95_962d86af.jpg,5.0,,,,,1,武威
武汉梨园景区,http://travel.qunar.com/p-oi709175-wuhanliyuanjingqu,"

地址:
湖北武汉市


电话:
027-86773706

",在东湖西北岸，与对岸滩头相望。为东湖风景区主要园林之一。建国后培育，占地500余亩，种有各种果树和名贵花木，其中以梨为主，因以园名。园中所有树木，皆依地势而起伏，高低重叠，苍翠幽深。一年四季，繁花不断，沁人心脾，尤其梨花盛开时，酷似无数粉蝶满园飞舞，殊为壮观。园之北部矣乃亭，以柳宗元《渔翁》“矣乃一声山水绿”意取名，古雅娟秀。东部湖岸曲折，垂柳摇曳，更是诱人。,周一至周日 07:00-18:00,https://img1.qunarzz.com/travel/d1/1705/d8/d04c22d60b5256b5.jpg_480x360x95_9f78a563.jpg,5.0,建议游览时间：1小时 - 4小时,,免费。,,7,武汉
茶山,http://travel.qunar.com/p-oi40013237-chashan,,茶山位于织金县，这里随处可见的茶树，景色优美，人们还可以在此体验采茶的乐趣。,,,5.0,,,具体收费情况以景区现场公示为主,,2,毕节
舜帝陵,http://travel.qunar.com/p-oi7469527-shundiling,"

地址:
湖南省永州市宁远县281乡道

",,8:00-17:00,https://img1.qunarzz.com/travel/poi/1408/27/7d28bc669ba10d0fffffffffc8d65eac.jpg_480x360x95_cb224d4c.jpg,5.0,,,,,1,永州
青木川魏家大院,http://travel.qunar.com/p-oi7646120-qingmuchuanweijiadayuan,"

地址:
汉中市宁强县青木川镇内

",魏家大院是当年青木川的统治者魏辅唐生活和处理政务的地方，由二进式新、老两宅组成，两宅相对独立又连成一体。老宅建于1927年，新宅建于1932年。新宅右边是辅唐泉，有“莫道济南趵突泉，更有魏公辅唐泉”之誉。宅院前是小桥流水、鱼池、凉亭，北凤凰，南龙池两山雄峙，有“凤凰遥对鱼龙池，神仙居墅度年华”之赞语。新老宅院珠联璧合，宏伟壮观，是青木川标志性建筑。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/01e0c82700ed976124c91aa08120eb45.jpg_480x360x95_88c91310.jpg,5.0,,,免费,,4,汉中
南澳后花园村,http://travel.qunar.com/p-oi9509472-nanaohouhuayuancun,"

地址:
汕头市南澳县	

",后花园村位于南澳县东半岛中部，海岛主峰果老山北侧，海拨 350-450米之间，长年山高雾多，亚热带海洋性气候显著，空气清新。 共69户，现有人口287人，设党支部和村委会各一个，班子健全，两委交叉任职4人，党员人数15人。由后花园、牛头岭、果老山、大篮口4个自然村组成，村落相距1.5公里山路左右，耕地面积122.98 亩，山地面积4100亩，山林覆盖率80%以上，可开发的山地面积2100亩。2009年全村人年均收入3600元，村集体纯收入3.9万元。村村通工程己实现。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/26dc4f0a67a90208b3648d5bb0f2144e.jpg_480x360x95_feb2d0da.jpg,5.0,,,免费,,1,汕头
南海寺Nanhai Temple,http://travel.qunar.com/p-oi23344075-nanhaisi,,南海寺面朝大海。南海寺的任何一处，都能看到巨大的水花在岩石上的美景。观音阁是南海寺的中心建筑。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/4822743b013eeb6986ebecf83403eebd.jpg_480x360x95_b8d87869.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1,汕尾
迎龙楼,http://travel.qunar.com/p-oi718436-yinglonglou,"

地址:
广东省江门市开平市赤坎镇三门里村迎龙楼

",迎龙楼坐落在开平市赤坎镇三门里村，东距开平市区6公里，是开平市现存最早的碉楼，为关氏家族所建。三门里村建于明朝正统年间（公元1436-1449年），地处潭江下游冲积平原，是一片芦苇丛生、水鸟群集的低洼之地，洪涝不时地威胁着村民的生命财产安全。明朝嘉靖年间（公元1522-1566年），关氏十七世祖关圣徒夫妇献出家庭积蓄，建起了迎龙楼。迎龙楼坐西北向东南，占地面积152平方米，建筑面积456平方米，砖木结构，楼高3层11.4米，为全村制高点。第1、2层为明朝大型红泥砖砌筑，红砖规格...迎龙楼坐落在开平市赤坎镇三门里村，东距开平市区6公里，是开平市现存最早的碉楼，为关氏家族所建。三门里村建于明朝正统年间（公元1436-1449年），地处潭江下游冲积平原，是一片芦苇丛生、水鸟群集的低洼之地，洪涝不时地威胁着村民的生命财产安全。明朝嘉靖年间（公元1522-1566年），关氏十七世祖关圣徒夫妇献出家庭积蓄，建起了迎龙楼。迎龙楼坐西北向东南，占地面积152平方米，建筑面积456平方米，砖木结构，楼高3层11.4米，为全村制高点。第1、2层为明朝大型红泥砖砌筑，红砖规格为33×15×8厘米，墙厚93厘米，为明代原构。民国九年（公元1920年）用青砖加建了第3层，开窗比第2层大，楼面为木梁板结构。楼的四角各有一个落地式塔楼，塔楼的第2、3层开设了射击孔，楼顶为传统硬山顶式，风格拙朴，造型简洁。 在中国，龙是吉祥的象征，楼名为“迎龙”是期望它给村民带来平安、好运、幸福。迎龙楼建成后，在保护民众避免了洪涝和盗匪的侵袭起了其应用的作用。迎龙楼方形的建筑形体没有受到外来因素的影响，是开平碉楼传统最原始的模式。,全天,https://img1.qunarzz.com/travel/poi/1409/09/884bd6e23bb8facfffffffffc8d65eac.jpg_480x360x95_4728d059.jpg,5.0,建议游览时间：0.5小时,四季皆宜。,,,2,江门
东北神学院,http://travel.qunar.com/p-oi36216001-dongbeishenxueyuan,,东北神学院位于华夏民俗村内，这里景色优美，一到秋天，造型奇特的“古木”枝藤蔓绕，远处的教堂，悬空的“树屋”，眼前的红枫、黄叶和绿树，这些都让人仿佛置身于仙境中。,,https://flight-feed.qunarzz.com/as3/450/image/2022/12/055dfa7a-776f-4192-8352-a711129cdb0c.jpeg_480x360_1403c35e.jpeg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1,沈阳
文庙大成殿,http://travel.qunar.com/p-oi707513-wenmiaodachengdian,,文庙大成殿坐落在沧州运河区晓市街北侧市群艺馆内。大成殿原系孔庙主殿，东西18米，南北9米，正面五门，殿内立柱24根，出檐2米，顶为绿釉。建筑雄伟。始建于宋辽年间（约1120-1150），明初创修规制渐备，明清以来历经17次修建。1981年河北省拨款修整，面貌一新，列为市级重点文物保护单位。,,,5.0,,,,,2,沧州
刘三姐故居,http://travel.qunar.com/p-oi705865-liusanjieguju,"

地址:
广西河池市城东北郊8公里处的流河乡马安村


电话:
0778-3225887

",传说中的刘三姐，就是在这片青山绿水、竹影婆娑中长大成人，划着小舟，唱着山歌，和阿牛哥谈着恋爱：“下枧河畔翠竹多；山风吹来响嗦嗦；搬来板凳并排坐；我俩同唱风流歌。”景区内的龙江河段，水上石林奇石秀峰，蔚为奇观，素有“喀斯特之魂”之称；下枫河段风光旖旎、清彻透亮、茂林修竹。沿途有南涉山、会仙山、乌龟石、泣血碑、望妹石、三姐扁担等奇特景观。游客可以乘坐游船观光，还可以观赏山歌传唱、三姐寻根等民俗表演，是个休闲度假的好地方。另外电影《刘三姐》也是在这里取...传说中的刘三姐，就是在这片青山绿水、竹影婆娑中长大成人，划着小舟，唱着山歌，和阿牛哥谈着恋爱：“下枧河畔翠竹多；山风吹来响嗦嗦；搬来板凳并排坐；我俩同唱风流歌。”景区内的龙江河段，水上石林奇石秀峰，蔚为奇观，素有“喀斯特之魂”之称；下枫河段风光旖旎、清彻透亮、茂林修竹。沿途有南涉山、会仙山、乌龟石、泣血碑、望妹石、三姐扁担等奇特景观。游客可以乘坐游船观光，还可以观赏山歌传唱、三姐寻根等民俗表演，是个休闲度假的好地方。另外电影《刘三姐》也是在这里取景拍摄的。,7:00-18:30,https://img1.qunarzz.com/travel/d1/1511/ab/28830f5cddcc58f7.jpg_480x360x95_e2269b63.jpg,5.0,建议游览时间：1小时 - 3小时,,120元,,2,河池
圣迹苍岩,http://travel.qunar.com/p-oi710711-shengjicangyan,"

地址:
广东省河源市连平县内莞镇小洞村

",圣迹苍岩旅游区座落在广东省连平县重点生态保护区内，位于105国道边，距离连平县城10公里，风景如画，素以优美的田园景色著称。景区的旅游事业迅速发展。现已建成以生态文化为主题，集观光农业、休闲度假、客家风情、美食购物于一体，环境优美，品位高雅，动静结合，符合国家旅游区质量2A标准的综合性客家山区生态旅游景区。景区主要由田园风光、圣迹苍岩溶洞、四季珍稀果园三部分组成。田园风光 这里小河蜿蜒于山间盆地，河水清清，两岸枫柳婆娑，峰林高矮连绵，交辉相映，此景此色...圣迹苍岩旅游区座落在广东省连平县重点生态保护区内，位于105国道边，距离连平县城10公里，风景如画，素以优美的田园景色著称。景区的旅游事业迅速发展。现已建成以生态文化为主题，集观光农业、休闲度假、客家风情、美食购物于一体，环境优美，品位高雅，动静结合，符合国家旅游区质量2A标准的综合性客家山区生态旅游景区。景区主要由田园风光、圣迹苍岩溶洞、四季珍稀果园三部分组成。田园风光 这里小河蜿蜒于山间盆地，河水清清，两岸枫柳婆娑，峰林高矮连绵，交辉相映，此景此色，此情此态，犹如桂林山水、阳朔漓江的宿影，加上周围的小桥、流水、人家、田野、牧牛、古树构成了陶渊明笔下美妙的田园风光，世外桃园。圣迹苍岩溶洞 是连平八大美景之首，其特色可概括为旱洞、通天、地下河，洞内通天奇观、石笋、石钟乳千姿百态，惟妙惟俏，置身其中，犹如进入神奇的艺术宫殿。地下河中的空气负离子含量高达28000个/立方厘米，且常年温度保持在21℃左右，能助你脏腑呼换清新的氧气，达到保健身体的效应，使人真正感受到大自然的眯味。四季珍稀果园 原是全省面积最大的葡萄种植基地，引进北国辽南的巨峰型葡萄品种，2001年在此举办广东省首届葡萄节。2005年初已将其改造成为四季珍稀果园，保留部分葡萄、水蜜桃、水仙桃，划分区域分别配种上珍珠番石榴、大果甜杨桃、砂糖桔、皇帝柑、朱柑、鸡心黄皮等各种名贵水果，一年四季游客均可品尝到新鲜水果。,9:00—17:00,https://img1.qunarzz.com/travel/d2/1606/c5/3ded6a15c152ba9a.jpg_480x360x95_003a4ce7.jpg,5.0,,,"{'圣迹苍岩门票成人票\n\n': ['¥30起'], '圣迹苍岩门票儿童票\n\n': ['¥15起']}",,2,河源
良山樱花观赏园,http://travel.qunar.com/p-oi38857632-liangshanyinghuaguanshang,,,,,5.0,,,具体收费情况以现场公示为主,,5,泉州
万仙楼（望仙楼）,http://travel.qunar.com/p-oi7587745-wanxianlou,"

地址:
泰安市泰山区红门路54号泰山风景名胜区

",万仙楼下层是石砌拱形门洞，高3.4米，宽2.9米，石额南刻“万仙楼”，北刻 “谢恩处”。整个下层东西宽17.4米，进深13.65米，高4.4米。门东砌为隐真洞， 深1.76米，高1.95米，宽0.9米。万仙楼上层建在下层顶台偏北处，面阔3间13米，进深6.3米，通高11米，三柱 七檩五架梁，重梁起架，黄琉璃瓦九脊歇山顶，前为重檐双步廊式。檐下施影作斗 拱，一斗二升交麻叶头，枋檩额上遍饰墨线大点金彩绘。殿墙下部四周镶满明代朝 山进香施财合山会题名碑63块。下层东北角有石阶与上层相通。,全天,https://img1.qunarzz.com/travel/d2/1710/a6/60396bdfb88e4ab5.jpg_480x360x95_d9e2c730.jpg,5.0,建议游览时间：0.5小时 - 3小时,,凭学生证半价。,,1,泰安
红龙湖公园,http://travel.qunar.com/p-oi711255-honglonghugongyuan,"

地址:
泸州市古蔺县城北部

",红龙湖省级森林公园位于古蔺县城北部，距县城区19.5公里，与黄荆景区紧密相连，面积达30平方公里。整个湖区由红龙湖、月儿湖、琴蛙湖等大小7个湖泊组成，象七颗璀灿的明珠镶嵌在海拨1600多米的崇山峻岭之中，最高峰新街坪达845米。湖区四周青山环抱，绿树掩映，水如明镜，湖中小船漫游，鱼歌悠悠。细雨蒙蒙时，四周高山葱笼翠绿，云雾缠绕其间，似玉带缠腰；以红龙湖为中心的水面，则薄雾缭绕，亲临红龙，如入仙山美景。夏日炎炎，这里凉爽舒适、空气清新、花香鸟语、格外幽静、湖区上...红龙湖省级森林公园位于古蔺县城北部，距县城区19.5公里，与黄荆景区紧密相连，面积达30平方公里。整个湖区由红龙湖、月儿湖、琴蛙湖等大小7个湖泊组成，象七颗璀灿的明珠镶嵌在海拨1600多米的崇山峻岭之中，最高峰新街坪达845米。湖区四周青山环抱，绿树掩映，水如明镜，湖中小船漫游，鱼歌悠悠。细雨蒙蒙时，四周高山葱笼翠绿，云雾缠绕其间，似玉带缠腰；以红龙湖为中心的水面，则薄雾缭绕，亲临红龙，如入仙山美景。夏日炎炎，这里凉爽舒适、空气清新、花香鸟语、格外幽静、湖区上下一片绿色的海洋，使人心旷神怡；隆冬季节，这里银装素裹，白雪皑皑，玉树琼花，一派北国风光，独特的南方雪景，更令人心醉神迷。离红龙湖三公里处的虎头山，地形险要，景观奇特，可观日出、云海；湖区舍身岩下的白水湖景区形势险峻，奇景众多，与正在实施的龙爪河引水工程连为一体，形成十里长湖，成为川南最具特色的避暑、度假、旅游的理想圣地。,7:30-18:30,,5.0,,,8元,,2,泸州
千卉谷基地,http://travel.qunar.com/p-oi40011136-qianhuigujidi,,千卉谷基地位于洛阳市孟津区，拥有牡丹、芍药等花卉，春暖花开的季节，各种鲜花竞相绽放，是人们赏花的好地方。,,,5.0,,,具体收费情况以景区现场公示为主,,8,洛阳
齐长城,http://travel.qunar.com/p-oi708808-qizhangcheng,"

地址:
济南市长清县孝里镇广里村

",长清县境内有两条齐长城，即主线和复线。主线西起孝里，经双泉、马山、万德与泰山相连，复线均在主线以南长清与肥城、泰安交界线上。两道长城之间为屯兵营房和石砌通道，城墙一般高5米，厚2.5米，城墙内侧有守城马道，高4米，宽2米，马道下依墙建石屋。长清境内齐长城共约97.8公里，翻越山头294座。齐长城在中国历史上占有重要地位，具有很高的考古和旅游价值，它比欧洲人公元前459年修建的79公里长雅典壁垒早200余年，比秦长城早400余年，堪称“中国长城之父”、“世界壁垒之最”。长...长清县境内有两条齐长城，即主线和复线。主线西起孝里，经双泉、马山、万德与泰山相连，复线均在主线以南长清与肥城、泰安交界线上。两道长城之间为屯兵营房和石砌通道，城墙一般高5米，厚2.5米，城墙内侧有守城马道，高4米，宽2米，马道下依墙建石屋。长清境内齐长城共约97.8公里，翻越山头294座。齐长城在中国历史上占有重要地位，具有很高的考古和旅游价值，它比欧洲人公元前459年修建的79公里长雅典壁垒早200余年，比秦长城早400余年，堪称“中国长城之父”、“世界壁垒之最”。长清县境内的大峰山峰顶有齐长城遗址1300余米，是全国齐长城保存最完好的一段，又因大峰山曾是鲁西抗日根据地和长清第一届县委诞生地，亦是有大峰山革命烈士陵园、奎文阁、金蟾洞等30多处人文景观和60多种珍禽异兽生活在万亩林间形成的自然景观的省级森林公园。长清县委、县政府决定把齐长城旅游区的开发作为西线旅游建设的龙头，成立了长清县齐长城旅游区管委会，并着手修复齐长城，使其成为社会主义教育基地及中国长城开发的第二个旅游区。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5b0139dcb6dd67a56406cf75b869a32c.jpg_480x360x95_6b4e9365.jpg,5.0,,,基础门票：25元。优惠门票：学生持证半价,,5,济南
孔子精华苑,http://travel.qunar.com/p-oi705039-kongzijinghuayuan,"

地址:
曲阜市鼓楼大街孔庙东侧护城河边

",,07:30-17:30,https://img1.qunarzz.com/travel/poi/1408/30/8980e6f8fd983b51ffffffffc8d65eac.jpg_480x360x95_a3350dae.jpg,5.0,,游曲阜三孔，四季皆宜，但习惯上人们偏好3－11月游曲阜，每年此刻，为曲阜旅游旺季。每年9月下旬至10月上旬曲阜举办孔子文化节。节日在孔庙大成殿前举行，期间有祭孔乐舞表演，以及与孔子倡导的礼、乐、射、御、书、数各种别具特色的旅游活动，比较有意思。每年的6至9月，微山湖的十万亩荷花争向开放，泗水县的桃花也争齐斗艳，在这个期间来游曲阜，既可游览孔府、孔庙、孔林等多处文化古迹，又可欣赏荷花、桃花的美艳多姿。寒冷冬季，伴随春节黄金周来到孔府过年的游客也络绎不绝。敲暮鼓晨钟、赏乐舞表演、品民俗大餐，是冬季里游览曲阜不错的选择。,15元,,3,济宁
济源牡丹园,http://travel.qunar.com/p-oi38337612-jiyuanmudanyuan,,济源牡丹园种植有牡丹、网红草等，园内有水车、小火车等。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3,济源
碧海银滩公园,http://travel.qunar.com/p-oi36409542-bihaiyintangongyuan,"

地址:
新埠街道新埠岛埠北环路北

","碧海银滩公园内有沙池、滑梯和跷跷板，沙子细腻柔软，另外，公园内还有很多道具，非常适合拍照打卡。
",全年 全天开放,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1,海口
玫遇玫瑰花园,http://travel.qunar.com/p-oi38876794-meiyumeiguihuayuan,,,,,5.0,,,,,1,淄博
淮北四季榴园,http://travel.qunar.com/p-oi38932862-huaibeisijiliuyuan,,,,,5.0,,,,,1,淮北
妈妈涧,http://travel.qunar.com/p-oi39585627-mamajian,,,,,5.0,,,,,2,淮南
洪泽湖,http://travel.qunar.com/p-oi707722-hongzehu,,,,https://img1.qunarzz.com/travel/d9/1701/35/dd2fecf65e6a1bb5.jpg_480x360x95_90a322ac.jpg,5.0,建议游览时间：3小时,四季皆宜,,,1,淮安
金龟村,http://travel.qunar.com/p-oi38045070-jinguicun,,金龟村位于深圳市坪山区， 村落依山伴溪而建，建筑风格独特魅力。这里有观光生态林，空气清新，非常适合休闲度假。,,https://flight-feed.qunarzz.com/as3/450/image/2022/12/8a37d6a0-758d-4bf4-83fd-78002f3b0c1d.webp_480x360_946531ce.webp,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2,深圳
千年瑶寨Millennium Yaozhai,http://travel.qunar.com/p-oi7469904-qiannianyaozhai,"

地址:
清远市连南县三排镇南岗村


电话:
0763-3175001,020-34819783,0763-3175788


官网:
http://www.chinayaozhai.com/

", 承载着千年文明的千年瑶寨，坐落在（广东连南瑶族自治县三排镇）百里瑶山万山朝王的正面，寨门海拔808米，被称誉为首领排。古寨依山而建，房屋层叠，错落有致;石板道纵横交错，主次分明;周围山势险要，溪水奔流，群峰迭嶂。　　此寨始建于宋代，现保留明清古建筑398幢。据中央民族大学刘保元教授和中国瑶族研究协会会长张有隽教授等考证专家考证，千年瑶寨是全国乃至全世界规模大、古老、具有特色的瑶寨。堪称世界建筑奇观，人类群居风水宝地。连南素有诗画之乡、歌舞之乡的美誉，在长期的生产劳动过程中，瑶族人民积累和创造了颇具特色的传统文化。瑶族“耍歌堂”、“长鼓舞”、“八排瑶族婚俗”接连被列为国家非物质文化遗产。还是上世纪50年代世界经典名曲《瑶族舞曲》的原创地。 　 千年瑶寨先后被评为“中国历史文化名村”、“中国民间艺术之乡”、“中国少数民族特色村寨”，并于2014年12月被评为国家AAAA级旅游景区。,全年 09:00-17:30;全年 19:30-20:30,https://img1.qunarzz.com/travel/d7/1802/a7/dd0849b2a42aa6b5.jpg_480x360x95_3def69f0.jpg,4.7,建议游览时间：3天 - 6天,春季、夏季、秋季最佳，植被丰富，景色宜人。,"{'千年瑶寨门票成人票\n\n': ['¥100起'], '千年瑶寨门票优待票\n\n': ['¥53.6起'], '千年瑶寨门票亲子票(1大1小)\n\n': ['¥159起']}",1、门票当天有效，出园后再入园，需再次购票。 2、预订门票包含景区内参观、观看民俗风情表演（表演现场少于10人的情况下，需要您耐心等待，听从景区工作人员的安排，具体表演时间以景区当天实际安排为准）。3、为保证取票、入园顺利，预订时请务必填写真实姓名、手机号码等信息。4、不可在景区门口下单，否则原价入园。,1,清远
九龙山景区Jiulong Mountains Scenic Area,http://travel.qunar.com/p-oi18714555-jiulongshanjingqu,,这里风景秀丽、气候宜人、林木繁茂，溪水非常清澈，另外，这里的古道也很有名，是人们郊游踏青的好地方。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6edb0a47a1a828b5284fe4350f51fed3.jpg_480x360x95_f06f0450.jpg,5.0,建议游览时间：3天,,,,3,温州
十二连城,http://travel.qunar.com/p-oi712095-shierliancheng,,"在潼关县东约3公里的禁沟两岸,禁沟自秦岭之蒿岔口起，北至下屯村原头，南北共长约15公里。沟底由于长期山水的冲刷,形成宽3O米的平坦斜坡道，成为通往潼关城後侧一条军事要道。自唐代到明清，为了潼关的安全，沿禁沟两岸夯筑方形土台12个，每个底边长10.5米，宽11米，高7。6米，夯层厚9至14厘米，是防御性的军事堡垒。由于与潼关基本相连接，故俗呼为“十二连城”。现在城无存,烽火台存在。",,https://img1.qunarzz.com/travel/poi/201211/15/5cd010f7f64ea332ddb12cfb.jpg_480x360x95_35ec093d.jpg,5.0,,,,,1,渭南
中南欢乐世界,http://travel.qunar.com/p-oi7469457-zhongnanhuanleshijie,"

地址:
浙江省湖州市安吉县递铺镇马鞍山村

",,7:30-17:30,https://img1.qunarzz.com/piao/fusion/1804/67/1a428454b990dc02.jpg_480x360x95_6c27b3aa.jpg,5.0,建议游览时间：4小时 - 1天,四季皆宜，春夏最宜。,100元,,8,湖州
彭德怀纪念馆,http://travel.qunar.com/p-oi713387-pengdehuaijinianguan,,纪念园位于湘潭乌石镇，依山而建，有纪念馆，铜像广场，铜像雕塑，德怀亭，德怀墓等景点。,,https://img1.qunarzz.com/travel/d5/1606/81/674d6d0379b5adf7.jpg_480x360x95_76a68530.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2,湘潭
小溪自然保护区Xiaoxi Nature Reserve,http://travel.qunar.com/p-oi3864368-xiaoxiziranbaohuqu,"

地址:
湘西土家族苗族自治州永顺县东南部


电话:
0743-3551

",小溪自然保护区地处湖南省永顺县东南部，属全球重点保护的200个生态圈之一，是世界少有、中国独有、中南十三省唯一幸存的免遭第四纪冰川侵袭的低海拔常绿阔叶原始次生林。保护区内物种丰富，是天然的植物园和野生动植物的基因库及天然氧吧。保护区是以原始次生林峡谷、峰林地貌景观为特色的生态旅游区。目前已向游客开放5个景区，即毛坪码头至小溪村游道沿线景区、龙门溪景区、鱼泉溪景区、茶园溪景区、巴东木莲景区。区内林海浩渺，树木葱郁，负氧离子浓度高，空气清新，环境宜人。林海缝隙中险峡深涧，飞瀑流泉，奇峰拔地，鸟鸣猿啼，间或偶现一两栋土家木楼，鸡鸣犬吠，民风古朴。景区融森林风光，原始河谷，名胜古迹，民族风情于一体，是中南地区理想的休闲度假、科考、软探险旅游胜地。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/e3a1f0932fb0cfd8ddb12cfb.jpg_480x360x95_0511e4d2.jpg,5.0,建议游览时间：3天 - 6天,,30元,,4,湘西
海田温泉,http://travel.qunar.com/p-oi37807043-haitianwenquan,"

地址:
鼎龙湾

",  ,全年 14:00-22:00,,5.0,,,,,7,湛江
神山森林公园Shenshan National Forest Park,http://travel.qunar.com/p-oi7573673-shenshansenlingongyuan,"

地址:
六镇镇城西北15公里草庵乡境内

",位于全椒县以西20公里处，总面积2200平方公里。较高峰海拔395米左右。山名由来无考，但唐建中年间，滁州刺史韦应物有《寄全椒山中道士》诗、山上所存神山寺，可证明1000多年前，佛道均在此争建庙宇道场。神山群山环抱，林深水秀，九座山围绕神山主峰，故称“九龙盘珠”。兼之涧壑幽深，石嶂奇竣，溪水绕山而过，甘泉破石而出，环境优美，气候宜人，融秀水、奇石、溶洞、古寺为一体，是一独特而幽雅的森林公园。其森林覆盖率达90％，植被多为阔叶林与人工长绿针叶混交林，各种树木有400种之多。主要景点有白石泉、神山湖、览胜塔、御溪桥。仙人洞、团山洞、龙洞、青牛洞等，还有充满象形神山石的黑石芤和距今已存1200多年的神山寺。,7:00-16:30,https://img1.qunarzz.com/travel/poi/1412/3c/3c0c751d61cdb713cdb.jpg_480x360x95_ddd695b3.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1,滁州
会仙山,http://travel.qunar.com/p-oi705569-huixianshan,"

地址:
邹平县城西南7.5公里处

",会仙山在邹平县城西南7.5公里处，高590.8米，为长白山脉北部山群的主峰。周围环拱大小山头几十座，山势起伏，壑峪纵横，千姿百态，气象峥嵘。会仙山山势陡峻，北有石船谷，南有盘壑峪，绝顶深涧，三面环绕，皆奇险莫攀，只有西坡几线羊肠小径可达山顶。石船谷口，双峰对峙，南石户顶、北石户顶均陡峭异常，为会仙山一大险胜。盘壑谷中，草木葱茏，涧水萦回，景最幽僻，古有庵院，人称“小桃园”。东面半山壁上，几股泉水溢出，夏秋滴水飞练，冬春冰溜倒悬。因在阴寒崖面，往往至夏日...会仙山在邹平县城西南7.5公里处，高590.8米，为长白山脉北部山群的主峰。周围环拱大小山头几十座，山势起伏，壑峪纵横，千姿百态，气象峥嵘。会仙山山势陡峻，北有石船谷，南有盘壑峪，绝顶深涧，三面环绕，皆奇险莫攀，只有西坡几线羊肠小径可达山顶。石船谷口，双峰对峙，南石户顶、北石户顶均陡峭异常，为会仙山一大险胜。盘壑谷中，草木葱茏，涧水萦回，景最幽僻，古有庵院，人称“小桃园”。东面半山壁上，几股泉水溢出，夏秋滴水飞练，冬春冰溜倒悬。因在阴寒崖面，往往至夏日来临，冰溜尚消融不尽，此谓之滴水崖。,全天,,5.0,,,20元,,1,滨州
食尚年华田园综合体,http://travel.qunar.com/p-oi39414651-shishangnianhuatianyuan,,,,,5.0,,,,,1,漯河
漳州战备大桥,http://travel.qunar.com/p-oi39409675-zhangzhouzhanbeidaqiao,,,,,5.0,,,,,9,漳州
郭味蕖故居陈列馆Guoweiqu Former Residence Exhibition Hall,http://travel.qunar.com/p-oi703544-guoweiqugujuchenlieguan,"

地址:
东风西街1048号(近三中)


电话:
8327866

",,8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/142a61452c86faf0c00d680fa2670d6c.gif_480x360x95_3f7dc468.gif,5.0,,,具体收费情况以现场公示为主,,3,潍坊
湖北省国营三湖农场State-owned Sanhu Farm in Hubei Province,http://travel.qunar.com/p-oi35559380-hubeishengguoyingsanhu,,,,,5.0,,,具体收费情况以现场公示为主,,1,潜江
